ID,Target
963,2
964,0
965,1
966,1
967,1
968,1
969,0
970,0
971,1
972,1
973,1
974,0
975,0
976,1
977,0
978,2
979,2
980,2
981,1
982,2
983,0
984,2
985,1
986,2
987,1
988,0
989,2
990,0
991,0
992,0
993,1
994,0
995,0
996,0
997,1
998,2
999,0
